cluster_k,n_features,slope,intercept,r_squared,p_value,std_err,eigenvalue,inv_eigenvalue,predicted_slope,slope_ratio,mean_participation_ratio,std_participation_ratio,mean_max_projection,std_max_projection,mean_ipr,mean_norm_sq,mean_D,m_hidden,sparsity,seed,checkpoint_step
0,11,0.9948682342338538,0.0005270873352419547,0.9999817794979773,1.217038453542872e-22,0.0014155604997872413,1.008212685585022,0.991854190826416,0.991854190826416,1.0030387968668324,39.51869733115737,5.094423388965852,0.0691853104404991,0.014068858984377302,0.025724850988122418,0.1292337607281495,0.12909765541553497,112,0.0,0,25000
1,10,1.0005650520610898,-0.00013513413243571026,0.9999566078073165,9.69420051007273e-19,0.002330319970689159,1.0040851831436157,0.9959314465522766,0.9959314465522766,1.0046525345944781,41.379966274993755,6.414247494475996,0.06586171345290923,0.020642040865860026,0.024833077544179887,0.12806110338611948,0.12799832224845886,112,0.0,0,25000
4,11,0.9984039339144561,0.0001390764554327628,0.9999125176658535,1.4172181689238224e-19,0.0031128931031350793,1.003301978111267,0.996708869934082,0.996708869934082,1.0017006610771773,40.4936373903812,4.674383680188379,0.0667686128320937,0.01302608164527654,0.025037737777181986,0.13016858805347017,0.13009990751743317,112,0.0,0,25000
7,11,0.9977866451114539,0.00019123822939592916,0.9999781355227603,2.7644539848773587e-22,0.00155521604820046,1.0031044483184814,0.9969051480293274,0.9969051480293274,1.0008842336543944,39.351966300482445,4.96412679613138,0.06655682335720929,0.011988913496249304,0.025795196850868674,0.1314708641281426,0.13137111067771912,112,0.0,0,25000
8,12,0.9963183622687516,0.0003742480908597856,0.9999724808401248,3.884019668695977e-24,0.0016528052966598462,1.0029851198196411,0.9970237612724304,0.9970237612724304,0.9992924952934135,39.41744695213389,4.0521395532924736,0.06640807246594425,0.0135703691934492,0.025646225801662315,0.12614557005100244,0.12605540454387665,112,0.0,0,25000
20,10,0.9964168325293917,0.0004263523300400973,0.9999115925173998,1.6704348042621787e-17,0.003312529635684666,1.0026546716690063,0.9973523616790771,0.9973523616790771,0.9990619873320293,39.37840384966511,3.1003010530088067,0.06155354353037875,0.009297545920585982,0.02555782282188655,0.1302729317256658,0.13023248314857483,112,0.0,0,25000
31,10,1.00827409363753,-0.0011922221784417542,0.999883963820969,4.9573765829421425e-17,0.003840214855287073,1.0024574995040894,0.997548520565033,0.997548520565033,1.0107519312107465,40.81899319727874,3.3125149898693165,0.0661219090962322,0.014793753526539635,0.02466552659800615,0.137381533022396,0.13732601702213287,112,0.0,0,25000
32,10,1.000338309724501,-0.00013315097951449584,0.9999464385073884,2.25049505969363e-18,0.0025884505601376203,1.0024446249008179,0.9975613355636597,0.9975613355636597,1.0027837628242402,40.2598212496986,4.963476045801606,0.06755648537211432,0.01811639337543194,0.025229424006850444,0.12539133993530635,0.12530061602592468,112,0.0,0,25000
40,10,0.998684700435953,0.00011112693416832908,0.9999569168994313,9.420920998303892e-19,0.002317641368124225,1.0023256540298462,0.9976797699928284,0.9976797699928284,1.0010072675354857,37.66205083164828,5.051866436673322,0.07240834140145927,0.02077918770357581,0.027004788827538213,0.12402287096760367,0.1239708811044693,112,0.0,0,25000
42,11,0.9977595360594139,0.000160430888865859,0.9999886546558208,1.443647270264016e-23,0.0011202525311696545,1.0022882223129272,0.997717022895813,0.997717022895813,1.000042610442265,38.22342324289469,6.56926063334306,0.07592997964460312,0.026964648294902336,0.027031226828973975,0.12745417709358778,0.1273290514945984,112,0.0,0,25000
45,10,0.9973660386582196,0.0002745742710840715,0.999979834625573,4.521543767694567e-20,0.0015834964953821992,1.0022608041763306,0.9977443218231201,0.9977443218231201,0.9996208616209318,36.38118051761505,8.684948354703558,0.08187464752681572,0.038094043000710225,0.02922458589042507,0.12797695494792816,0.1279144585132599,112,0.0,0,25000
46,12,1.0036197214210656,-0.0005523773766901163,0.9999290684039867,4.418878693876124e-22,0.0026730338337141845,1.00224769115448,0.9977573752403259,0.9977573752403259,1.0058755227735878,37.864142109308865,5.903280008186333,0.08131707803071113,0.027040696994083655,0.027061198826185986,0.1288862650926094,0.1288004070520401,112,0.0,0,25000
49,13,0.9958954262487149,0.00045879768574075275,0.9999475761170108,6.742283456975763e-25,0.002174169365018091,1.0022118091583252,0.9977930784225464,0.9977930784225464,0.9980981505936766,41.19507269266038,6.580384245503698,0.06781079310472785,0.018379010523657063,0.024934628329608174,0.1288564100675285,0.12878629565238953,112,0.0,0,25000
54,13,0.9962778529440106,0.0004118195966718863,0.9999016263147834,2.149013308393562e-23,0.002979510818558942,1.002140998840332,0.9978635907173157,0.9978635907173157,0.9984108671886053,37.30957400247058,3.5368552211355326,0.07405260965385715,0.018251818701875283,0.027060363762732482,0.12791497916354572,0.12785068154335022,112,0.0,0,25000
64,11,0.9965820118661398,0.00039973041244073526,0.9999626561494914,3.0744830633377895e-21,0.0020300626757048675,1.0020264387130737,0.9979776740074158,0.9979776740074158,0.9986015096553497,40.24760974037428,6.389446094596861,0.06202381344276475,0.013090917201496969,0.025505884064589483,0.13339001762795785,0.13333381712436676,112,0.0,0,25000
67,10,0.9969731741569718,0.00028740931548970616,0.9999917633650879,1.2585160861422869e-21,0.0010116148036248118,1.0019876956939697,0.9980162382125854,0.9980162382125854,0.9989548626408307,40.50298059004344,4.4036118953925465,0.06453643850465471,0.011448637108419896,0.025000321098622953,0.12054815969684407,0.12047068774700165,112,0.0,0,25000
68,10,0.999816187931265,-1.8011524322014694e-05,0.9999702315546913,2.1472759548652086e-19,0.0019286779337275176,1.001981258392334,0.9980226755142212,0.9980226755142212,1.0017970657992512,38.55169632530429,3.926450099848593,0.0694320061141837,0.015410329091601942,0.026197087730470525,0.1340826108774296,0.1340399533510208,112,0.0,0,25000
79,11,1.0030458950491858,-0.00044934091334700166,0.9999668741892243,1.7928119959190676e-21,0.0019243763098295529,1.001834511756897,0.9981688261032104,0.9981688261032104,1.0048860160911006,37.04286499410941,4.316368697963156,0.07128793340034018,0.013216024768209992,0.027347601303744643,0.12838638389050788,0.1283280998468399,112,0.0,0,25000
81,14,1.0005679958228824,-0.00013445725968150302,0.9999631164118784,5.679601563598435e-28,0.0017542059329905529,1.001813530921936,0.9981897473335266,0.9981897473335266,1.0023825615277144,39.25203728622303,4.153015997058982,0.067323604791735,0.012045909814886797,0.025772301008975904,0.1323635632233877,0.13230428099632263,112,0.0,0,25000
85,12,1.0050420197037455,-0.0007084163314029501,0.9999516081691943,6.53084845691844e-23,0.0022109593326809555,1.0017699003219604,0.9982331991195679,0.9982331991195679,1.0068208717063136,38.87352257635546,4.629092371133845,0.06772277633668712,0.015599133063395894,0.026091003040442557,0.13053221197214182,0.13048194348812103,112,0.0,0,25000
88,10,0.9961670402548662,0.00039548388560797787,0.9999791630929543,5.154596942090264e-20,0.0016077122715457363,1.001715898513794,0.9982870221138,0.9982870221138,0.9978763804277001,35.97596774434204,4.8849937916499275,0.08237769143825942,0.021424935970720392,0.028332233717357175,0.13221970147409834,0.1321083903312683,112,0.0,0,25000
95,14,1.0006505220200903,-0.00017619847262151378,0.9999235543787075,4.5023778586795415e-26,0.0025257171382387133,1.0016120672225952,0.9983905553817749,0.9983905553817749,1.0022636097929143,38.25145380174066,3.759818307048816,0.07509568158924339,0.01776975565503964,0.02641411193168111,0.13090723027504583,0.13081619143486023,112,0.0,0,25000
96,11,1.0000205099501167,-7.830816523446416e-05,0.9999559694202957,6.4518190273505e-21,0.0022119454662156983,1.0015844106674194,0.9984180927276611,0.9984180927276611,1.0016049561142044,40.39616353545887,7.225129557498736,0.06655528436999664,0.015500361085938549,0.0253570962362352,0.13422908581234605,0.1341535449028015,112,0.0,0,25000
98,11,0.9976761356358085,0.00023176820958087374,0.9999859029913003,3.835777420468487e-23,0.0012486331888194183,1.001534342765808,0.9984679818153381,0.9984679818153381,0.999206938836346,39.603327672820704,3.2698674401846635,0.06347328405122529,0.011183070073955106,0.025426475862543898,0.1278587983829046,0.12779344618320465,112,0.0,0,25000
102,11,0.9984630095262585,0.00016158138035940461,0.9999919330555929,3.1115140060027147e-24,0.0009452942344298055,0.9995539784431458,1.0004462003707886,1.0004462003707886,0.9980176936612933,39.429554705012784,4.175302418895439,0.07647025381886564,0.01967655061313821,0.025629230485213383,0.13525341640406943,0.13520711660385132,112,0.0,0,25000
104,10,1.0045664152852234,-0.0006017010018211644,0.9999561839568422,1.007855590699783e-18,0.0023510385688855456,0.9945500493049622,1.0054798126220703,1.0054798126220703,0.9990915806310771,39.15153221418087,4.85127482481097,0.07185276258422103,0.01915183614395121,0.025972689756033722,0.12878567345221031,0.1287720650434494,112,0.0,0,25000
106,10,0.9966059572810325,0.0005243248719322691,0.9998804113978519,5.592912288391124e-17,0.003853446644262031,0.9842705726623535,1.015980839729309,1.015980839729309,0.9809298741761324,37.07784043783002,4.710396670680189,0.07597906203783893,0.017559016690735296,0.02742439290109309,0.13403856178783546,0.13410796225070953,112,0.0,0,25000
107,11,1.000305657787631,9.451442886983241e-05,0.9999291424801973,5.489450697576126e-20,0.0028068540503969927,0.9791153073310852,1.0213301181793213,1.0213301181793213,0.9794146280252954,36.75531615779075,4.7482502640006095,0.07293706075012586,0.012482293533905274,0.027652610931134306,0.12138273213764937,0.12151434272527695,112,0.0,0,25000
111,162,1.0454727830304889,2.5814196875068962e-08,0.9999913934892972,0.0,0.00024247566852026803,0.9531531929969788,1.0491492748260498,1.0491492748260498,0.9964957400402621,1.1485857343191501,0.0243889430204477,0.9321465623724916,0.009872984941202452,0.8710195119144756,0.00011310439115445382,0.00011827336857095361,112,0.0,0,25000
0,12,0.997011490287795,0.00023342592842207077,0.9998645361085835,1.122646004007441e-20,0.0036697911981472707,1.009246587753296,0.9908381104469299,0.9908381104469299,1.006230462651543,40.74373683352672,5.536661988531768,0.06321799700694437,0.013248515871208106,0.024961116895023578,0.1361192217755426,0.1359458565711975,112,0.0,1,25000
4,10,0.9957451677314686,0.0004372230440476965,0.9999884078506078,4.9376007017325255e-21,0.0011986371003967966,1.003322958946228,0.9966880679130554,0.9966880679130554,0.999053966620107,38.48160777152334,4.091260900554455,0.06711793326213913,0.018128182554030644,0.026300937464766035,0.13598487550263652,0.13584350049495697,112,0.0,1,25000
9,12,0.9983748918455587,0.00014818174310093912,0.9999728759739277,3.613069022767295e-24,0.00164428319025989,1.0029958486557007,0.9970130920410156,0.9970130920410156,1.0013658795610751,40.37854669512236,4.75783915621429,0.06528695955729406,0.015952596336987205,0.025131803920677695,0.13013172706475984,0.13006843626499176,112,0.0,1,25000
12,13,1.0042207416461453,-0.0006572263431516567,0.9998940398329941,3.233633618822981e-23,0.0031169308821311836,1.0028880834579468,0.9971202611923218,0.9971202611923218,1.0071209870365416,39.08935669023538,3.9801668051514203,0.06583882830983805,0.013322433483311285,0.025849362252980308,0.13280771898549587,0.1327110379934311,112,0.0,1,25000
28,10,0.997164361909266,0.0002733483731834907,0.9999709450253611,1.9487006270732912e-19,0.0019003706518354964,1.002508521080017,0.9974977374076843,0.9974977374076843,0.9996657882159365,40.2695817308911,3.4173041600542375,0.07082964036892939,0.017717495372493584,0.025012328479067626,0.12995555074949183,0.12986040115356445,112,0.0,1,25000
31,13,0.9948315822505209,0.0005667753677433829,0.9999263292831014,4.38048622140067e-24,0.002574640920460244,1.002451777458191,0.9975542426109314,0.9975542426109314,0.9972706643467484,37.54810798437822,6.772861324018306,0.07642907101873474,0.02470105055494475,0.027633068697994003,0.13175745162220615,0.13164323568344116,112,0.0,1,25000
34,10,0.9973618900382468,0.0002529256319898643,0.9999371393688796,4.269568081218028e-18,0.002795830220551654,1.002411127090454,0.9975946545600891,0.9975946545600891,0.9997666742491268,36.67364950084537,5.334242047389042,0.08079502557857703,0.02264885541102982,0.027880172960823478,0.12864120019408715,0.12855476140975952,112,0.0,1,25000
41,10,1.0017166081729771,-0.0003177790291265248,0.9999709855235803,1.9378585201917306e-19,0.0019077152450530659,1.0023146867752075,0.9976906776428223,0.9976906776428223,1.0040352492213986,39.532646241513206,6.47058654818121,0.06521211144079447,0.011710493456604996,0.02603072482895951,0.13077794565893955,0.13068464398384094,112,0.0,1,25000
46,10,0.9982599494471724,0.00013268638052296722,0.9999337447349436,5.269278675652294e-18,0.002872918059826909,1.0022419691085815,0.9977630376815796,0.9977630376815796,1.0004980258306095,39.69757314236048,6.169397163868287,0.06718261492894964,0.02056051646690618,0.02587755280138464,0.12971656450989683,0.12962351739406586,112,0.0,1,25000
49,11,0.9968158653218955,0.000342245102501304,0.9999661888191758,1.96588029093229e-21,0.00193210710783007,1.002211332321167,0.9977935552597046,0.9977935552597046,0.9990201480730604,40.384171627124125,5.144440912100875,0.07031557482233058,0.014087526209431926,0.02520825084527907,0.1399069973732484,0.13980375230312347,112,0.0,1,25000
56,11,0.9986733158239243,8.714035406193199e-05,0.9999795877295579,2.0290562037284443e-22,0.0015040153907918618,1.0021237134933472,0.9978808164596558,0.9978808164596558,1.0007941823825015,38.457944762528,3.9598879766069057,0.06951815321664986,0.013037334336318198,0.026293387493503004,0.13612662322149396,0.13603316247463226,112,0.0,1,25000
62,10,0.999371355360096,-8.756055295267018e-06,0.9999833402632728,2.106364393759043e-20,0.0014421803980947821,1.0020395517349243,0.99796462059021,0.99796462059021,1.0014096038485354,39.41516399101245,4.244514338581737,0.06338427719499483,0.010440422892322903,0.025681570079023348,0.1360523281079867,0.13595804572105408,112,0.0,1,25000
73,10,0.9977193929173536,0.00023748310758991975,0.9999685483755889,2.6756904067645383e-19,0.001978298357501091,1.0019094944000244,0.9980941414833069,0.9980941414833069,0.9996245358525034,39.82391622805095,5.784421758814498,0.06572050208820236,0.014106367128240293,0.025725575557742214,0.13238341317902952,0.13231897354125977,112,0.0,1,25000
77,10,0.9985865959861377,6.592412908812406e-05,0.9999862649117882,9.73164532837915e-21,0.0013084569784304614,1.0018705129623413,0.9981330037117004,0.9981330037117004,1.0004544407135627,37.51950829331578,3.7987507052936706,0.06992696359341152,0.017331955852975357,0.02692835361062614,0.13414913209844875,0.1340254545211792,112,0.0,1,25000
78,13,0.9978434325448515,0.00016468845811551391,0.9999693258866493,3.537028745542935e-26,0.0016663212419822974,1.001860499382019,0.9981429576873779,0.9981429576873779,0.9996999175917441,39.18399316575068,5.657378095606848,0.06861644689423266,0.019011534895519412,0.026114484931092183,0.13129006938806903,0.13117161393165588,112,0.0,1,25000
80,10,1.003932278844493,-0.0005089287579223556,0.9999603822106091,6.736369686993256e-19,0.002234154213114707,1.0018283128738403,0.9981750249862671,0.9981750249862671,1.005767779912451,39.725309259387366,5.827496513940624,0.06566660858918745,0.01311992322864757,0.025712471936924747,0.12649017262803605,0.1264786422252655,112,0.0,1,25000
84,10,0.9990494982993597,1.1439250076544782e-05,0.9999834593737627,2.0467685765792314e-20,0.0014365527518716203,1.0017644166946411,0.9982386827468872,0.9982386827468872,1.0008122461756754,39.46872283455353,5.005954592871586,0.06585577665376526,0.013437459541798537,0.0257258913361763,0.12557075646498783,0.1254628300666809,112,0.0,1,25000
85,11,1.0020121073677108,-0.00033836921421001587,0.9999622511063695,3.22741839263598e-21,0.0020521638143118524,1.001761555671692,0.9982415437698364,0.9982415437698364,1.00377720564868,39.73226276337466,3.8303651730067405,0.06687203368565287,0.009690388593310542,0.025415258884092514,0.12705042912267453,0.12696769833564758,112,0.0,1,25000
86,10,1.000620601069757,-0.00014347400275291355,0.9999836167975572,1.9699541207000018e-20,0.0014319485136351853,1.0017330646514893,0.9982699155807495,0.9982699155807495,1.0023547594215938,37.806271191590994,6.065035330325624,0.07308203186146187,0.01858612033576218,0.027105439593629193,0.12474303171652275,0.12467696517705917,112,0.0,1,25000
89,11,0.9972508411642867,0.00029237682801863674,0.999921870750331,8.520299496712368e-20,0.0029383731678776725,1.0016911029815674,0.9983117580413818,0.9983117580413818,0.9989372890096211,38.27779931678061,6.383899373559963,0.07545524632648472,0.027080173170485843,0.02700265335052576,0.12851761573633075,0.12845668196678162,112,0.0,1,25000
95,11,0.9973787179335238,0.0002779276487731297,0.999973330269771,6.758776406935647e-22,0.0017169353601423122,1.0016149282455444,0.9983876943588257,0.9983876943588257,0.9989893941692162,39.769607544937486,3.451805454165541,0.06596703189848714,0.008922477515011152,0.02534250665649487,0.13396728363387458,0.13389405608177185,112,0.0,1,25000
96,13,0.9997727751649063,-5.823236542989996e-05,0.9999721932687795,2.0616580186363294e-26,0.001589593109194881,1.0015941858291626,0.9984083771705627,0.9984083771705627,1.001366573063229,40.29269726707392,4.0460269028897,0.06657819146496619,0.014630948858879939,0.025046798308575355,0.13425526288272183,0.13416653871536255,112,0.0,1,25000
99,10,0.9965782918337855,0.000312945415047422,0.9999746196071542,1.1346341313986053e-19,0.0017750929970914181,1.0014474391937256,0.9985546469688416,0.9985546469688416,0.9980207841993872,38.21097960216317,5.024809641612719,0.08008596696149353,0.012598861093273649,0.026648263383232767,0.128418622389802,0.12829214334487915,112,0.0,1,25000
101,13,0.998376287237269,0.00011433795441781469,0.9999549763935113,2.9195550356195625e-25,0.002019890524046653,1.0007926225662231,0.9992080330848694,0.9992080330848694,0.9991675949151124,40.006223164422835,5.033699951548652,0.06890949609348349,0.018709436223240714,0.025375380425750438,0.12825234740249083,0.12815845012664795,112,0.0,1,25000
103,10,0.996295833845688,0.00041548482948497445,0.9999738447800324,1.2796645107116822e-19,0.0018014747893372854,0.9966534972190857,1.0033577680587769,1.0033577680587769,0.9929616987699694,38.98498696448248,6.874596491806912,0.0696350483823996,0.018370410435314777,0.026437994766479206,0.12625390562066832,0.12620171904563904,112,0.0,1,25000
111,166,1.0521457908069471,1.9339500074565686e-08,0.9999561340480335,0.0,0.0005441608625843582,0.9462051391601562,1.0568532943725586,1.0568532943725586,0.9955457360158902,1.177024067054902,0.03772236913858317,0.92093281711831,0.01488344251383012,0.8504599323664785,0.0001154602422829315,0.00012150034308433533,112,0.0,1,25000
2,11,0.9956285656252207,0.00041347865220892066,0.99999040544493,6.79036349502947e-24,0.0010279940409553222,1.0039817094802856,0.9960340857505798,0.9960340857505798,0.9995928652129876,36.206037592772844,3.3348139288975256,0.07239634623524158,0.011562128831634266,0.02785661110260864,0.1319434020561181,0.13178010284900665,112,0.02020408163265306,0,25000
