m_hidden,sparsity,seed,checkpoint_step,n_clusters,mean_participation_ratio,mean_max_projection
112,0.0,0,25000,29,32.99882749869002,0.20683475122910286
112,0.0,1,25000,26,32.855826174030916,0.20849864317276978
112,0.02020408163265306,0,25000,28,33.08093853310002,0.20838655838968886
112,0.02020408163265306,1,25000,26,32.999960240505644,0.20998222460224153
112,0.04040816326530612,0,25000,29,33.37299899232791,0.2016309848928285
112,0.04040816326530612,1,25000,30,33.16281418771332,0.20715457964189254
112,0.06061224489795918,0,25000,29,33.697801613961246,0.19462105418145448
112,0.06061224489795918,1,25000,29,33.324461257555356,0.20486581190192543
112,0.08081632653061224,0,25000,27,34.02317091082886,0.18946431713279518
112,0.08081632653061224,1,25000,26,33.49608845012271,0.20107973688906428
112,0.1010204081632653,0,25000,36,34.16146388342896,0.1876090469906852
112,0.1010204081632653,1,25000,25,33.484804936162035,0.20086548532245
112,0.12122448979591836,0,25000,31,34.29694927615793,0.18452758130146021
112,0.12122448979591836,1,25000,30,33.644091241301695,0.19550660812253434
112,0.14142857142857143,0,25000,34,34.159905618456655,0.18168752863135068
112,0.14142857142857143,1,25000,33,33.537081245536754,0.19359884493727342
112,0.16163265306122448,0,25000,35,33.42655145305154,0.18430112368728507
112,0.16163265306122448,1,25000,39,33.05402812589935,0.1927417530203579
112,0.18183673469387754,0,25000,44,32.75053758768295,0.1800614189789747
112,0.18183673469387754,1,25000,44,32.02878657943196,0.1950329292706134
112,0.2020408163265306,0,25000,57,30.717840029839866,0.1793722578786212
112,0.2020408163265306,1,25000,54,30.24108199472729,0.18769598008558389
112,0.22224489795918367,0,25000,57,29.794571776279838,0.17372452344339556
112,0.22224489795918367,1,25000,58,29.954871559192178,0.17946215993666315
112,0.24244897959183673,0,25000,55,29.19831033886888,0.16736764393050738
112,0.24244897959183673,1,25000,54,28.47050084311884,0.17667521747758508
112,0.2626530612244898,0,25000,42,28.419090452459514,0.16592288678043965
112,0.2626530612244898,1,25000,42,28.421713236793682,0.17197472055169477
112,0.28285714285714286,0,25000,33,28.5627211076567,0.16129972879295448
112,0.28285714285714286,1,25000,26,28.45036648320151,0.16677799105132352
112,0.3030612244897959,0,25000,27,28.843764069400656,0.1560160429911569
112,0.3030612244897959,1,25000,24,28.564150068386965,0.16081627232939277
112,0.32326530612244897,0,25000,26,30.433184600842367,0.14948940094345303
112,0.32326530612244897,1,25000,26,30.52182227315034,0.15086005793685592
112,0.34346938775510205,0,25000,27,30.27291439842965,0.14591920879491466
112,0.34346938775510205,1,25000,29,29.59451195324078,0.14907768189639864
112,0.3636734693877551,0,25000,24,23.77277948031137,0.16273465730553383
112,0.3636734693877551,1,25000,21,22.616303878065835,0.16746772718329817
112,0.38387755102040816,0,25000,17,19.23018606258273,0.1768425894020038
112,0.38387755102040816,1,25000,16,19.032580131006608,0.1799403082410619
112,0.4040816326530612,0,25000,18,14.070719142374148,0.2056421667447354
112,0.4040816326530612,1,25000,21,14.981152024032802,0.19498319936545744
112,0.42428571428571427,0,25000,23,12.727129402506128,0.2033060259060266
112,0.42428571428571427,1,25000,24,13.526930792577822,0.19113160720346922
112,0.44448979591836735,0,25000,23,13.6708414004747,0.1918609042912532
112,0.44448979591836735,1,25000,25,13.848698175699706,0.18911677494899787
112,0.4646938775510204,0,25000,22,13.52320147450569,0.19593651686111865
112,0.4646938775510204,1,25000,20,13.777256718914611,0.19257838881232836
112,0.48489795918367345,0,25000,16,12.933687112950576,0.21969695983339377
112,0.48489795918367345,1,25000,16,13.338478330271746,0.21483859216615472
112,0.5051020408163265,0,25000,14,12.795607682655309,0.23259248687525436
112,0.5051020408163265,1,25000,14,12.98867837623406,0.22846162842260637
112,0.5253061224489796,0,25000,7,12.535099564772366,0.28353529690744883
112,0.5253061224489796,1,25000,10,12.685267370237623,0.2605415716400324
112,0.5455102040816326,0,25000,4,12.699599063457594,0.3135914036705749
112,0.5455102040816326,1,25000,6,12.546466947795906,0.29648795819330126
112,0.5657142857142857,0,25000,3,13.270955335570816,0.3160958912163748
112,0.5657142857142857,1,25000,4,12.934382884164675,0.3114245379337587
112,0.5859183673469388,0,25000,2,14.176970660989486,0.30984707622039964
112,0.5859183673469388,1,25000,3,13.421328166646118,0.3132609522452745
112,0.6061224489795918,0,25000,1,15.652709105143556,0.2920435998111367
112,0.6061224489795918,1,25000,1,15.841980107276276,0.29080824113828596
112,0.6263265306122449,0,25000,1,16.035947486519003,0.2868281623361325
112,0.6263265306122449,1,25000,1,16.09460606646607,0.2877642175717312
112,0.6465306122448979,0,25000,1,16.17436016253786,0.285151934366789
112,0.6465306122448979,1,25000,1,18.517578685925972,0.2705370377273123
112,0.666734693877551,0,25000,1,16.407521013329166,0.2808566340324997
