file,m,s,seed,n,rank,rank_ratio,sumD,rho_m,rho_r,n_eigenspaces,degeneracy_ratio,slack_run,mean_resid,mean_sigma,mean_kappa,mean_leverage,mean_cv,wmean_q_bin,wmean_H_bin,wmean_n_eff,wmean_max_space_proj,wmean_participation_ratio,defect_error,negD_frac,D_Dhat_corr,qual_rate
n1024_m112_s0.000000_seed0.h5,112,0.0,0,1024,112,1.0,111.99424787755561,0.9999486417638893,0.9999486417638893,32,0.2857142857142857,5.1358236110687905e-05,0.006893013901078564,5.135823611193298e-05,1.0004961486186958,0.10937500000000014,0.00689077508527526,0.5903732659768809,1.2915406227025406,3.6794793483541826,0.1395407664905762,13.770440684497142,1.44878900543155e-13,0.0,0.9999999999997443,0.0001669907174645782
n1024_m112_s0.000000_seed1.h5,112,0.0,1,1024,112,1.0,111.99430546981603,0.9999491559805003,0.9999491559805003,33,0.29464285714285715,5.08440194997295e-05,0.006817028779387394,5.084401950117085e-05,1.0006038841574738,0.10937500000000015,0.006814046361397081,0.6529898728211839,1.19754733000586,3.3533104689652853,0.13652496879848086,14.251773236975394,1.5794310304073633e-13,0.0,0.9999999999997362,0.0001604726306265536
n1024_m112_s0.020204_seed0.h5,112,0.02020408163265306,0,1024,112,1.0,111.99509706233948,0.9999562237708882,0.9999562237708882,33,0.29464285714285715,4.3776229111780474e-05,0.006361513377203241,4.377622911318422e-05,1.0008838743468158,0.10937500000000015,0.006356787248275872,0.47408382627321505,1.3865634730082317,4.0411363862025285,0.1289222127061478,15.294958309747823,1.589180176342353e-13,0.0,0.9999999999997322,0.0001621473085129945
n1024_m112_s0.020204_seed1.h5,112,0.02020408163265306,1,1024,112,1.0,111.99420562434534,0.9999482645030834,0.9999482645030834,33,0.29464285714285715,5.1735496916616164e-05,0.006814896085581175,5.173549691797952e-05,1.0009911825692086,0.10937500000000015,0.006809159587210154,0.7511949565219744,0.9923314128473205,2.7351499788125824,0.13419752422334544,14.56993067538883,1.5453090196348995e-13,0.0,0.99999999999976,0.0012220796268224009
n1024_m112_s0.040408_seed0.h5,112,0.04040816326530612,0,1024,112,1.0,111.99351088932599,0.9999420615118392,0.9999420615118392,33,0.29464285714285715,5.79384881608247e-05,0.00732664643936405,5.793848816196472e-05,1.001292320920356,0.10937500000000012,0.00731781621910022,0.5646445205243068,1.150485549002155,3.19254758822097,0.12389563349569775,15.98466686302786,1.2949624011993066e-13,0.0,0.9999999999997031,0.00021933110445933736
n1024_m112_s0.040408_seed1.h5,112,0.04040816326530612,1,1024,112,1.0,111.99210197642242,0.999929481932343,0.999929481932343,35,0.3125,7.051806765701052e-05,0.007962564792647467,7.051806765838266e-05,1.0009752705800457,0.10937500000000017,0.007956168721380441,0.6977047623884836,1.0560694938716255,2.9099274681125986,0.1271407633578868,15.516266251927087,1.5727696922596124e-13,0.0,0.9999999999997329,0.00018906988419518784
n1024_m112_s0.060612_seed0.h5,112,0.06061224489795918,0,1024,112,1.0,111.99366281357652,0.9999434179783618,0.9999434179783618,36,0.32142857142857145,5.658202163816295e-05,0.007116734067460698,5.6582021639542244e-05,1.0017340891974456,0.10937500000000014,0.007105085723958302,0.47979883934016615,1.213710396535153,3.3923948582037324,0.1157972394285832,17.272901695265997,1.4913070778277415e-13,0.0,0.999999999999704,0.00017009367804825175
n1024_m112_s0.060612_seed1.h5,112,0.06061224489795918,1,1024,112,1.0,111.99168126978475,0.9999257256230781,0.9999257256230781,34,0.30357142857142855,7.427437692186789e-05,0.008119723967678096,7.427437692335894e-05,1.0013965673156455,0.10937500000000017,0.008109731622134658,0.5994495008215498,1.1377143918753736,3.1451032568158594,0.12038443305744954,16.61675028358336,1.6518730827641548e-13,0.0,0.9999999999997339,0.00019078716473870495
n1024_m112_s0.080816_seed0.h5,112,0.08081632653061224,0,1024,112,1.0,111.99234062057803,0.9999316126837324,0.9999316126837324,37,0.33035714285714285,6.838731626757077e-05,0.007885156743210288,6.838731626886023e-05,1.0017286374995547,0.10937500000000014,0.007872259393997185,0.5368100915546453,1.2906925962964648,3.668523922482091,0.1124717187575688,18.140212245885678,1.4605504305986727e-13,0.0,0.9999999999997169,0.0001636200482831417
n1024_m112_s0.080816_seed1.h5,112,0.08081632653061224,1,1024,112,1.0,111.99261355901399,0.9999340496340535,0.9999340496340535,36,0.32142857142857145,6.595036594647663e-05,0.007679813973716141,6.595036594777319e-05,1.0018188680673283,0.10937500000000014,0.007666671186317155,0.5642956259269439,1.1003276914514042,3.0296673883982392,0.11363078306949119,17.940196660991656,1.3989503999667363e-13,0.0,0.9999999999997053,0.00018077089911836366
