file,m,s,seed,n,rank,rank_ratio,sumD,rho_m,rho_r,slack_run,mean_resid,mean_sigma,mean_kappa,mean_leverage,tail_mass_001,tail_mass_005,tail_mass_010
n1024_m112_s0.000000_seed0.h5,112,0.0,0,1024,112,1.0,111.99424787755561,0.9999486417638893,0.9999486417638893,5.1358236110687905e-05,0.006893013901078564,5.135823611193298e-05,1.0004961486186958,0.10937500000000014,0.0,0.0,0.0
n1024_m112_s0.000000_seed1.h5,112,0.0,1,1024,112,1.0,111.99430546981603,0.9999491559805003,0.9999491559805003,5.08440194997295e-05,0.006817028779387394,5.084401950117085e-05,1.0006038841574738,0.10937500000000015,0.0,0.0,0.0
n1024_m112_s0.020204_seed0.h5,112,0.02020408163265306,0,1024,112,1.0,111.99509706233948,0.9999562237708882,0.9999562237708882,4.3776229111780474e-05,0.006361513377203241,4.377622911318422e-05,1.0008838743468158,0.10937500000000015,0.0,0.0,0.0
n1024_m112_s0.020204_seed1.h5,112,0.02020408163265306,1,1024,112,1.0,111.99420562434534,0.9999482645030834,0.9999482645030834,5.1735496916616164e-05,0.006814896085581175,5.173549691797952e-05,1.0009911825692086,0.10937500000000015,0.0,0.0,0.0
n1024_m112_s0.040408_seed0.h5,112,0.04040816326530612,0,1024,112,1.0,111.99351088932599,0.9999420615118392,0.9999420615118392,5.79384881608247e-05,0.00732664643936405,5.793848816196472e-05,1.001292320920356,0.10937500000000012,0.0,0.0,0.0
n1024_m112_s0.040408_seed1.h5,112,0.04040816326530612,1,1024,112,1.0,111.99210197642242,0.999929481932343,0.999929481932343,7.051806765701052e-05,0.007962564792647467,7.051806765838266e-05,1.0009752705800457,0.10937500000000017,0.0,0.0,0.0
n1024_m112_s0.060612_seed0.h5,112,0.06061224489795918,0,1024,112,1.0,111.99366281357652,0.9999434179783618,0.9999434179783618,5.658202163816295e-05,0.007116734067460698,5.6582021639542244e-05,1.0017340891974456,0.10937500000000014,0.0,0.0,0.0
n1024_m112_s0.060612_seed1.h5,112,0.06061224489795918,1,1024,112,1.0,111.99168126978475,0.9999257256230781,0.9999257256230781,7.427437692186789e-05,0.008119723967678096,7.427437692335894e-05,1.0013965673156455,0.10937500000000017,0.0,0.0,0.0
n1024_m112_s0.080816_seed0.h5,112,0.08081632653061224,0,1024,112,1.0,111.99234062057803,0.9999316126837324,0.9999316126837324,6.838731626757077e-05,0.007885156743210288,6.838731626886023e-05,1.0017286374995547,0.10937500000000014,0.0,0.0,0.0
n1024_m112_s0.080816_seed1.h5,112,0.08081632653061224,1,1024,112,1.0,111.99261355901399,0.9999340496340535,0.9999340496340535,6.595036594647663e-05,0.007679813973716141,6.595036594777319e-05,1.0018188680673283,0.10937500000000014,0.0,0.0,0.0
n1024_m112_s0.101020_seed0.h5,112,0.1010204081632653,0,1024,112,1.0,111.99185780498374,0.999927301830212,0.999927301830212,7.269816978805466e-05,0.008171940576900467,7.269816978954056e-05,1.0021059809544337,0.10937500000000017,0.0,0.0,0.0
n1024_m112_s0.101020_seed1.h5,112,0.1010204081632653,1,1024,112,1.0,111.99245684880589,0.9999326504357668,0.9999326504357668,6.734956423315452e-05,0.007879524933906893,6.734956423430084e-05,1.001993582677556,0.10937500000000012,0.0,0.0,0.0
n1024_m112_s0.121224_seed0.h5,112,0.12122448979591836,0,1024,112,1.0,111.99255196668673,0.9999334997025601,0.9999334997025601,6.650029743993091e-05,0.0077843471481657345,6.650029744142344e-05,1.0026171735823677,0.10937500000000017,0.0,0.0,0.0
